"","Ronda01","Ronda02","Ronda03","Ronda04","Ronda05","Ronda06","Ronda07","Ronda08","Ronda09","Ronda10","Ronda11","Ronda12","Ronda13","Ronda14","Ronda15","Ronda16","Ronda17","Ronda18","Ronda19","Ronda20","Ronda21","Ronda22","Ronda23","Ronda24","Ronda25","Ronda26","Ronda27","Ronda28","Ronda29","Ronda30"
"Szabo",1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,26,27,27
"Geller",1,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,22,23,24,25,26,27,27
"Najdorf",1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,20,21,22,23,24,25,26,27,27
"Reshevsky",1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25,25,26,26
"Petrosian",1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,27
"Keres",1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,27
"Averbaj",1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,26,27,27
"Smyslov",1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,25,26,27,27
"Taimanov",1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,24,25,26,27,27
"Bronstein",1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,27
"Euwe",1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,26,27,27
"Kotov",1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,26,27,27
"Stahlberg",1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28
"Boleslavsky",1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,25,26,27,27
"Gligoric",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27
