"","Ronda01","Ronda02","Ronda03","Ronda04","Ronda05","Ronda06","Ronda07","Ronda08","Ronda09","Ronda10","Ronda11","Ronda12","Ronda13","Ronda14","Ronda15","Ronda16","Ronda17","Ronda18","Ronda19","Ronda20","Ronda21","Ronda22","Ronda23","Ronda24","Ronda25","Ronda26","Ronda27","Ronda28","Ronda29","Ronda30"
"Szabo",1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Geller",1,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Najdorf",1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Reshevsky",1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Petrosian",1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Keres",1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Averbaj",1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Smyslov",1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Taimanov",1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17
"Bronstein",1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Euwe",1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Kotov",1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17
"Stahlberg",1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18
"Boleslavsky",1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17
"Gligoric",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17
